,,,,,,,,,,,,,,,,
Status,Submittal ID,Subject,From Company,Expected,Received,Days Late Received,Due Date,Days Late Responding,Responded,Final Response,Last Action Action,Prepared On,Closed,Days +/-,row height,Days +/- responding
Closed,01 33 00-002-00,01 33 00-002-00 Submittal Schedule - 1.20.20,Mortenson Construction,,1/21/2020,,2/4/2020,,1/28/2020,No Action Taken or Required,No Action Taken or Required,10/11/2021,1/28/2020,31322,R,-11
,01 33 00-003-00,01 33 00-003-00 Submittal Schedule - 3.23.20,Mortenson Construction,,4/29/2020,,5/13/2020,,4/28/2020,No Action Taken or Required,No Action Taken or Required,10/11/2021,4/28/2020,31393,R,-11
,01 50 00-008-00,01 50 00-008-00 Temporary Access Road,Mortenson Construction,,5/13/2019,,5/27/2019,,5/22/2019,No Action Taken or Required,No Action Taken or Required,10/11/2021,5/22/2019,31141,R,-11
,01 56 39-001-00,01 56 39-001-00 Temp Tree Protection Plan,Mortenson Construction,,2/27/2019,,3/13/2019,,2/28/2019,Revise and Resubmit,Revise and Resubmit,10/11/2021,2/28/2019,31088,R,-11
,01 56 39-001-01,01 56 39-001-01 Temp Tree Protection Plan Rev 1,Mortenson Construction,,3/1/2019,,3/15/2019,,3/13/2019,Revise and Resubmit,Revise and Resubmit,10/11/2021,3/13/2019,31090,R,-11
,01 56 39-001-02,01 56 39-001-02 Temp Tree Protection Plan Rev 2,Mortenson Construction,,3/18/2019,,4/1/2019,,3/20/2019,Approved as Noted,Approved as Noted,10/11/2021,3/20/2019,31101,R,-11
,01 56 39-001-03,01 56 39-001-03 Temp Tree Protection Plan,Mortenson Construction,,4/18/2019,,5/2/2019,,4/30/2019,Approved as Noted,Approved as Noted,10/11/2021,4/30/2019,31124,R,-11
,01 56 39-002-00,01 56 39-002-00 Qualifications of Project Arborist,Mortenson Construction,,2/27/2019,,3/13/2019,,2/28/2019,Revise and Resubmit,Revise and Resubmit,10/11/2021,2/28/2019,31088,R,-11
,01 56 39-002-01,01 56 39-002-01 Qualifications of Project Arborist Rev 1,Mortenson Construction,,3/1/2019,,3/15/2019,,3/11/2019,Approved,Approved,10/11/2021,3/11/2019,31090,R,-11
,01 56 39-003-00,01 56 39-003-00 Arborist Photo Documentation & Appraisal,Mortenson Construction,,3/11/2019,,3/25/2019,,3/13/2019,Revise and Resubmit,Revise and Resubmit,10/11/2021,3/13/2019,31096,R,-11
,01 56 39-003-01,01 56 39-003-01 Arborist Photo Documentation & Appraisal,Mortenson Construction,3/27/2019,3/29/2019,2 ,4/15/2019,,4/15/2019,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,4/15/2019,3,R,-12
